Trade Date,MASI,DSI,FSI 
2018-10-09,31243.93,20592.76,8137.74
2018-10-08,31297.84,20641.91,8137.74
2018-10-05,31832.16,21129.05,8137.74
2018-10-04,31570.02,20890.06,8137.74
2018-10-03,32428.08,21672.36,8137.74
2018-10-02,32428.51,21672.76,8137.74
2018-10-01,32417.64,21662.36,8138.23
2018-09-28,32373.19,21621.84,8138.23
2018-09-27,32371.29,21620.11,8138.23
2018-09-26,32340.31,21591.86,8138.23
2018-09-25,32435.39,21583.89,8235.84
2018-09-24,32433.12,21581.81,8235.84
2018-09-21,32433.12,21581.81,8235.84
2018-09-20,32433.12,21581.81,8235.84
2018-09-19,32369.10,21566.86,8199.71
2018-09-18,32285.56,21446.32,8236.83
2018-09-17,32285.56,21446.32,8236.83
2018-09-14,32285.56,21446.32,8236.83
2018-09-13,32317.97,21475.87,8236.83
2018-09-12,32318.17,21476.05,8236.83
2018-09-11,32306.22,21465.16,8236.83
2018-09-10,32306.69,21465.59,8236.83
2018-09-07,32306.69,21465.59,8236.83
2018-09-06,32306.03,21464.98,8236.83
2018-09-05,32072.71,21252.26,8236.83
2018-09-04,32071.76,21251.40,8236.83
2018-09-03,32071.76,21251.40,8236.83
2018-08-31,31956.43,21145.76,8237.32
2018-08-30,31846.95,21045.95,8237.32
2018-08-29,31844.92,21044.10,8237.32
2018-08-28,31284.24,20532.92,8237.32
2018-08-27,31284.24,20532.92,8237.32
2018-08-24,31284.24,20532.92,8237.32
2018-08-23,31278.13,20530.76,8233.79
2018-08-22,31281.87,20530.76,8237.32
2018-08-21,31281.87,20530.76,8237.32
2018-08-20,31281.87,20530.76,8237.32
2018-08-17,31281.87,20530.76,8237.32
2018-08-16,31284.28,20533.09,8237.32
2018-08-15,31279.58,20528.67,8237.32
2018-08-14,31282.19,20531.06,8237.32
2018-08-13,31282.19,20531.06,8237.32
2018-08-10,31282.19,20531.06,8237.32
2018-08-09,31282.19,20531.06,8237.32
2018-08-08,31282.19,20531.06,8237.32
2018-08-07,31282.19,20531.06,8237.32
2018-08-06,31282.09,20530.96,8237.32
2018-08-03,31263.14,20513.69,8237.32
2018-08-02,31263.14,20513.69,8237.32
2018-08-01,31263.14,20513.69,8237.32
2018-07-31,31263.14,20513.69,8237.32
2018-07-30,31263.14,20513.69,8237.32
2018-07-27,31263.67,20513.69,8237.82
2018-07-26,31263.67,20513.69,8237.82
2018-07-25,31274.32,20524.01,8237.82
